1081Q;2;1;1;na;kl,1;ff;na;na;na;na;k;;na;na;na;2;ff;na;na;7;na;na;na;na;na;2;1;2;na;k;k;2;1;2;2;u;na;2;na;k;n;k;5;2;2;1;1;1
2228Q;2;2;2;sp;na;na;2;2;1;1;f;25314;na;0;na;s;f;na;na;8;2;2;1;2;1;2;2;2;k;ab;f;2;1;1;1;na;ku;0;e,nk;ab;na;k;6;1;1;2;1;2
2232Q;2;1;na;na;na;na;1;1;2;2;f;45231;na;4;na;s;f;na;na;6;1;2;2;2;2;1;1;2;na;na;na;1;2;1;2;u;na;5;sp;s;ff;sp;5;2;1;2;1;2
3379Q;2;2;1;na;k;k;1;1;2;2;f;25134;na;5;na;na;na;p;na;5;2;2;1;2;1;2;1;2;k;k;n;1;2;1;2;k;k;2;sp;k;n;k;5;2;2;1;1;2
4530Q;2;2;1;na;x;na;1;2;1;2;f;15324;f;5;na;kl;na;na;na;2;na;na;na;na;na;2;1;2;na;k;k;1;1;2;2;u;na;2;sp;k;na;k;2;2;2;1;1;2
1080R;2;2;1;na;na;na;1;1;2;1;d;25143;f;5;k;ab;f;k;k;5;2;2;1;2;1;2;1;1;k;na;na;1;2;1;1;u;f;2;k;na;na;i;6;2;2;2;1;1
2231R;2;2;1;k;k;k;1;1;2;2;k;;kr;5;sp;1;n;k;k;5;2;1;2;1;1;2;1;2;k;k;n;1;2;1;2;u;na;2;k;k;k;k;5;1;2;1;1;2
3378R;1;2;1;sp;ab;na;1;na;na;na;d;35412;f;na;na;div,s,y;f;na;na;0;na;na;na;na;na;na;na;na;na;div,kl,3;ff;na;na;na;na;na;na;na;i;s;f;fp;5;2;2;1;1;2
3382R;2;2;1;k;ab;na;1;2;2;1;f;15243;na;1;e;ab;na;na;na;10;1;1;2;2;1;1;2;1;k;na;na;2;2;1;1;na;f;6;na;div,4;n,ub,ff;k;5;1;2;1;1;2
4529R;1;1;2;sp;s;f;2;1;2;2;d;25143;f;6;na;s;f;na;na;8;1;1;1;2;2;2;2;1;i;na;na;1;1;2;1;na;f;6;g;s;f;fp;9;2;1;1;2;2
1079S;2;1;2;sp;s;f;1;2;1;1;d;25143;f;0;p;ab;na;k;f;6;1;2;1;2;1;1;1;2;k;s;f;2;2;1;1;k;f;0;e;ab;f;k;5;2;1;1;2;1
2230S;2;1;2;sp;2,x;f;1;2;2;1;k;;na;4;k;1;ff;i;na;5;2;2;1;2;1;1;1;1;k;na;na;1;2;1;1;na;ab;5;sp;na;na;k;2;2;1;2;2;1
3377S;1;2;1;na;ab;na;1;2;1;2;k;;na;na;na;na;na;k;k;2;2;1;2;1;1;2;na;na;na;na;na;1;na;na;na;na;na;6;na;na;na;na;na;2;2;1;1;1
3381S;2;1;1;k;1;f;1;2;2;2;u;na 5 na na na;ks,ku;5;k;k;int;k;k;5;2;2;2;1;1;2;1;1;k;s,x;f;1;2;1;1;na;na;2;na;4,x;f;na;9;2;2;1;1;2
4528S;2;1;1;k;k;k;1;2;1;2;k;;ku;2;k;s;k;k;k;5;2;2;1;1;1;2;1;1;na;x;na;1;2;1;1;k;f;1;k;k;n;fp;6;2;1;1;1;2
4532S;na;na;na;na;na;na;1;2;2;2;k;;f;na;str;na;na;k;k;7;1;2;2;1;2;na;na;na;na;na;na;1;na;na;2;na;na;6;na;na;na;na;2;na;na;na;na;na
1078T;2;1;2;sp;na;na;2;1;2;1;f;15423;na;5;g;s;f;p;f;na;2;2;2;1;2;1;2;1;k;na;na;1;2;1;2;na;na;2;e,g;s;f;sp;6;2;1;2;2;2
1082T;2;2;1;sp;k;n;1;2;1;1;u;na 5 na na na;ku;5;k;k;fk;k;k;5;2;1;1;2;1;2;1;2;i;k;k;1;1;2;2;u;f;2;na;sp;f;k;5;2;1;1;1;2
2229T;1;1;2;na;na;na;1;na;1;na;d;35412;na;3;na;na;na;na;na;5;1;2;1;2;1;2;1;1;na;na;na;1;1;2;1;na;na;2;na;na;na;na;3;1;2;1;1;1
3380T;1;1;2;i;ab;f;2;1;2;2;f;15324;na;4;g;div,1;n,ff;k;k;9;1;1;1;2;2;1;1;2;k;ab;na;1;1;1;2;na;na;0;e;ab;f;k;4;2;1;1;2;2
4527T;1;2;2;na;na;na;1;2;1;2;f;35421;na;4;ab;s;f;k;p;7;na;2;na;na;1;2;1;1;na;ab;na;2;2;2;1;na;na;6;sp;ab;na;na;na;2;1;1;2;1
4531T;2;1;1;nl;k;n;1;2;1;2;f;15432;ku;5;k;1;n,ff;k;k;5;2;2;1;1;1;2;1;1;k;k;n;1;1;2;2;k;k;2;nl;k;int;k;5;1;2;1;1;2
1073Q;2;1;1;sp;ab;f;1;2;1;2;d;25143;na;5;e;ab;f;na;f;4;1;na;na;na;na;2;1;2;str;ab;f;1;2;1;2;k;na;2;na;ab;f;k;6;2;2;2;1;1
1077Q;2;2;1;k;k;k;1;2;1;2;k;;k;5;k;k;k;k;k;na;na;na;ns;na;na;2;1;2;k;k;k;1;1;2;2;k;ku;2;k;k;k;k;6;2;2;1;1;2
2224Q;1;2;2;sp;s;f;1;2;2;2;f;25314;na;6;sp;s;f;k;k;3;1;2;2;1;2;1;2;1;k;s;f;1;1;2;2;f;f;5;sp;s;f;k;5;2;1;2;2;2
3375Q;2;2;1;sp;s;f;1;2;1;2;f;25134;f;5;k;s;f;k;k;5;2;1;1;1;2;2;1;1;str;1;ff;1;1;2;2;u;f;2;k;2,x;f;k;0;2;2;1;1;2
4522Q;2;1;1;sp;1,kl;n,ff;1;1;1;2;k;;f;5;k;div,s,1;n,ff;k;k;6;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;ab;2;na;div;ff;k;9;2;2;1;1;2
4526Q;1;2;2;k;s,1;n,ff;1;2;2;1;f;25134;f;5;k;s;n,ff;k;k;5;2;2;2;2;2;1;2;2;k;1,x;f;1;2;1;2;u;ku;2;k;k;int;k;5;1;2;1;1;2
1072R;2;0;1;k;k;k;1;2;1;2;k;;ks,ku;5;na;k;k;na;na;5;1;2;1;2;2;2;1;0;k;k;n;1;2;1;2;k;na;2;k;1;ff;k;0;2;2;1;1;2
1076R;2;2;1;k;k;n;1;2;1;2;k;;k;5;k;1;k;k;k;5;2;1;1;2;1;2;1;2;k;k;n;na;na;na;na;na;na;2;k;k;n;k;5;2;2;1;1;2
2223R;1;2;2;sp;k;k;1;1;2;2;k;;ab;4;sp;ab;na;p;na;na;2;2;1;na;na;1;2;1;k;s,1;n,ff;1;na;na;2;na;na;5;i;2;ff;i;9;1;2;1;1;1
2227R;2;2;1;k;ab;f;1;2;1;2;k;;f;5;p;1;k;k;k;5;2;2;1;2;1;2;1;2;i;ab;f;1;1;2;2;ks;f;2;k;k;n;k;5;2;2;1;1;2
3374R;2;2;1;k;k;k;1;2;2;2;k;;k;5;na;s;f;k;k;na;2;2;1;1;2;2;1;2;na;s;f;1;1;2;2;k;k;2;k;ab;na;k;3;2;2;1;1;2
4521R;2;1;2;sp;s;f;1;2;2;2;d;35241;f;3;sp;s;f;k;f;10;1;2;1;1;2;2;1;2;k;s;f;1;2;1;2;u;f;1;sp;s;f;k;9;2;2;1;1;2
4525R;2;2;1;sp;k;k;1;2;1;2;k;;ku;5;na;s;f;k;k;5;1;na;na;na;na;2;1;2;i;1;ff;na;na;na;na;na;na;2;k;k;n;k;5;2;1;1;1;1
1075S;2;2;1;sp;ab;na;1;2;1;2;f;35421;f;3;na;ab;na;k;k;0;2;1;1;2;1;1;2;2;na;ab;f;2;1;2;1;na;na;5;na;ab;na;na;2;2;2;2;2;1
2222S;2;2;1;sp;k;n;1;1;2;2;k;;na;5;na;1;f;k;k;5;na;na;na;na;na;2;1;2;na;na;na;1;1;2;2;na;na;na;na;na;na;k;na;na;na;na;na;na
2226S;2;1;2;k;1;n,ff;1;1;2;2;k;;ku;5;sp;1,x;f;k;k;3;1;2;2;2;1;2;1;1;k;3;n,ff;1;1;2;2;ks;na;2;k;2;n;k;5;1;2;1;1;2
3373S;2;1;1;sp;s;f;1;na;1;2;f;15234;kt;4;na;ab;na;k;k;5;2;2;na;1;2;1;2;1;sp;s;n,ff;2;2;1;1;f;na;6;str;s;f;k;na;na;na;na;na;na
4524S;2;2;1;sp;k;n;1;2;1;2;k;;ku;5;k;k;k;k;k;5;2;1;1;1;2;2;1;2;k;1;n,ff;1;2;1;2;k;f;2;k;k;int;k;5;2;2;1;1;2
1074T;2;1;1;k;k;k;1;2;1;2;d;25143;k;5;k;k;k;k;k;5;2;2;1;1;2;2;1;1;k;k;k;1;2;1;2;k;ku;2;k;k;k;k;9;2;2;1;1;2
2225T;2;2;1;na;ab;na;1;2;1;2;u;na 51 na na;f;5;k;1,x;f;k;k;5;1;2;1;2;na;2;1;2;k;x;f;1;1;2;2;na;f;2;na;ab;f;fp;na;2;2;1;1;1
3372T;2;1;1;sp;ab;f;1;2;1;2;f;15234;f;5;k;na;f;k;k;9;2;1;1;2;1;2;1;2;k;na;na;1;1;2;2;k;ku;2;e;ab;f;fp;0;1;2;1;1;1
3376T;2;2;1;na;na;na;1;2;2;2;f;15324;na;5;sp;k;n;k;k;5;2;1;1;1;1;2;1;2;k;k;n;1;2;2;2;k;na;2;k;k;n;k;2;2;2;1;1;1
4523T;2;2;1;k;k;n;na;2;1;2;k;;ku;5;k;k;k;k;k;5;2;1;2;1;2;2;1;2;k;k;k;1;2;2;2;u;ku;2;k;k;n;k;5;2;2;1;1;2
1085Q;0;0;0;s;s;f;1;1;1;1;f;15234;f;5;ab;s;f;na;f;5;2;2;2;1;2;2;2;2;na;k;k;1;1;2;1;u;na;2;i;3;ff;na;na;na;na;na;na;na
1089Q;0;0;0;sp;x;f;1;na;na;na;f;15432;na;na;na;1;k;k;k;6;2;2;2;1;2;2;1;na;i;k;k;1;1;2;2;u;ku;2;k;k;n;k;5;2;2;1;1;2
2236Q;2;2;1;sp;ab;na;1;2;2;2;f;15234;f;5;k;na;na;k;f;1;1;2;1;1;2;2;1;2;k;ab;n;1;2;1;2;u;f;2;sp;ab;f;k;5;2;2;1;1;2
3383Q;1;2;1;i;1;n,ff;1;2;1;2;d;25143;ku;5;e;1;ff;k;k;5;2;2;1;1;1;2;1;1;k;k;k;1;2;1;2;k;ku;2;k;k;k;k;5;1;2;1;1;2
3387Q;2;2;1;sp;na;na;1;2;1;2;k;;ks,ku;5;k;na;na;k;k;6;2;2;1;1;1;2;1;2;k;k;k;1;1;1;2;k;ks;2;k;1;ff;k;5;2;1;1;1;2
4534Q;2;1;2;na;ab;na;1;2;2;2;f;15432;na;0;ab;k;na;na;na;na;na;na;na;na;na;2;1;2;k;ab;na;1;1;2;2;na;na;2;k;ab;na;k;6;2;2;1;1;1
4538Q;2;1;1;sp;s,1;ff;1;2;1;2;f;45321;na;0;ab;s;ff;na;na;na;1;2;1;2;2;2;1;2;k;k;k;2;1;2;1;na;ku;2;sp;3;k;k;5;1;2;1;1;2
1084R;na;na;na;k;na;na;1;2;1;1;d;25143;ku;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;1;na;na;na;na;na;1;k;na;na;k;2;2;2;1;1;2
1088R;2;2;1;k;k;k;1;2;2;2;d;25143;f;5;na;k;na;na;na;10;1;2;1;na;na;2;1;2;k;kl;ff;2;na;na;na;na;na;2;k;2;ff;k;5;1;2;1;1;2
2235R;2;1;1;k;na;na;1;2;1;2;d;45132;f;5;e;ab;na;k;k;5;2;2;1;1;2;2;1;1;k;na;na;1;1;1;2;na;na;2;k;na;na;k;na;2;2;1;1;2
2239R;2;2;1;na;ab;na;1;1;2;2;f;25134;na;5;e,nl;ab;na;na;na;5;na;na;na;na;na;2;1;2;na;ab;na;2;1;2;2;na;na;2;s;ab;na;na;0;1;1;1;1;1
3386R;1;2;2;k;k;n;1;2;1;2;d;45132;ku;5;k;ab;na;k;k;5;2;2;1;1;1;2;1;2;k;x;f;1;1;2;2;na;na;2;k;k;k;k;5;1;2;1;1;2
4533R;2;2;1;sp;k;k;na;2;1;2;d;25143;k;5;k;ab;na;k;na;5;2;2;1;1;1;2;1;2;k;ab;na;1;na;1;2;k;f;2;sp;k;int;k;5;2;2;1;1;2
4537R;2;2;1;k;k;n;1;2;1;2;f;25134;kt;4;k;ab;na;k;k;5;2;2;1;1;2;2;1;2;k;na;na;1;1;2;2;na;ab;2;k;div,1;n,ff;k;4;2;2;1;1;2
1083S;2;1;1;na;k;k;1;2;1;1;d;25143;f;5;na;1;int;k;k;6;1;2;1;2;1;2;1;1;na;ab;na;1;2;1;2;u;f;2;na;na;na;sp;0;2;1;1;2;2
1087S;2;2;1;k;k;k;1;2;1;2;k;;kg;5;k;k;k;k;k;5;1;1;2;2;2;2;1;2;k;2;n,ff;1;1;2;2;k;k;2;k;k;n;k;5;2;2;1;1;1
2234S;1;2;2;k;1,x;f;1;2;2;2;f;34251;f;5;k;na;na;k;k;6;2;2;1;1;1;2;1;1;ab;ab;na;1;2;1;2;ks,u;na;5;sp;ab;na;k;3;2;2;1;1;1
2238S;2;1;1;sp;k;n;1;2;1;2;d;35124;f;5;sp;2;n,ff;k;p;5;1;1;2;2;2;2;1;1;na;k;n;1;2;1;1;na;na;2;na;k;n;na;9;2;1;1;2;1
3385S;2;1;1;k;k;n;1;2;1;2;f;15234;ku;5;k;1;n,ff;k;k;5;2;2;1;1;2;2;1;2;k;s;f;1;1;2;2;f;ab;2;k;ab;na;k;5;1;2;1;1;1
4536S;2;1;1;sp;k;n;1;na;1;na;d;35124;ku;5;sp;ab;na;k;k;5;2;2;2;1;2;2;1;2;k;ab;na;1;1;2;0;na;na;2;na;na;na;k;6;1;2;1;1;2
1086T;2;1;1;sp;1;n,ff;1;2;2;2;d;35124;f;5;e;div;n,ff;k;k;5;1;2;2;2;1;2;1;1;k;k;n;1;1;2;2;k;f;2;e,nl;ab;f;k;5;1;1;na;2;2
2233T;2;2;1;sp;s;f;1;2;1;2;f;15243;f;5;k;s;f;k;d;10;2;1;2;1;2;2;1;2;k;s;ub,ff;1;2;1;2;k;f;2;sp;s;f;sp;6;na;1;na;1;na
