"";"a1_1_1";"a1_2";"a1_3";"a1_4_1";"a1_5";"a1_6";"a2_1";"a2_2";"a2_3";"a2_4";"a2_5";"a2_6_1";"b1_1_1";"b1_2";"b1_3";"b1_4_1";"b1_5";"b1_6";"b2_1";"b2_2";"b2_3";"b2_4";"b2_5";"b2_6_1"
"3379Q";1;NA;1;0;0;NA;1;NA;NA;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1
"1080R";1;NA;NA;0;0;0;1;1;0;1;1;1;1;1;NA;0;0;0;1;1;NA;0;0;1
"3378R";1;0;0;0;0;0;NA;NA;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;0;1;1;1
"3382R";1;1;0;0;0;NA;0;0;0;NA;0;0;0;1;NA;0;NA;0;0;NA;0;1;1;0
"1079S";0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0
"3377S";1;NA;0;1;1;NA;NA;NA;NA;1;0;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;1
"3381S";1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;NA;NA;1;NA;0;NA;0;1
"1078T";0;0;NA;0;0;NA;1;0;0;0;NA;0;0;1;NA;0;NA;NA;1;0;0;0;0;0
"1082T";1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;NA;0;1;1;0
"3380T";0;0;0;0;0;NA;0;0;0;1;0;0;1;1;0;1;NA;NA;0;0;0;1;0;0
"1073Q";1;0;0;1;0;NA;1;0;0;0;0;0;1;0;0;0;1;NA;1;NA;0;1;0;1
"1077Q";1;1;1;1;1;1;1;1;1;1;NA;0;1;1;1;1;1;0;1;1;1;1;0;1
"3375Q";1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;0;1
"1072R";1;1;1;1;1;0;1;NA;1;NA;1;0;1;1;1;0;1;NA;1;1;1;1;0;1
"1076R";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;NA;NA;1;1;0;1;1;1
"3374R";1;1;1;1;1;1;1;NA;0;1;NA;1;1;NA;0;1;1;1;1;1;0;1;0;1
"1075S";1;0;0;1;0;0;0;NA;0;1;0;0;0;NA;0;0;NA;NA;0;NA;0;NA;0;0
"3373S";1;0;0;1;0;0;0;NA;0;1;1;0;0;0;0;0;0;NA;0;0;0;1;NA;0
"1074T";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
"3372T";1;0;0;1;0;0;1;1;0;1;0;0;1;1;NA;1;1;0;1;0;0;1;0;1
"3376T";1;NA;NA;1;0;NA;1;0;1;1;1;1;1;1;1;1;1;NA;1;1;0;1;0;1
"1085Q";0;0;0;0;0;0;1;0;0;0;1;0;1;NA;1;1;0;NA;1;0;0;NA;NA;0
"1089Q";0;0;0;0;0;NA;NA;NA;1;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1
"3383Q";1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
"3387Q";1;0;NA;1;1;0;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"1084R";0;1;NA;1;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;0;1;NA;1;0;1
"1088R";1;1;1;1;0;0;1;NA;0;NA;0;0;1;1;0;0;NA;NA;1;1;1;1;1;0
"3386R";0;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;NA;NA;1;1;1;1;1;0
"1083S";1;NA;1;1;0;0;1;NA;0;1;0;0;1;NA;0;0;0;0;1;NA;NA;0;0;0
"1087S";1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1
"3385S";1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1
"1086T";1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0
"3384T";0;NA;NA;0;0;0;0;0;NA;1;0;0;0;1;0;1;NA;0;1;NA;NA;NA;0;0
"3388T";0;1;NA;1;0;NA;NA;0;0;1;1;0;0;1;1;1;0;NA;0;NA;NA;1;NA;0
"1093Q";1;1;1;1;0;0;1;1;NA;NA;NA;0;1;1;1;0;1;1;1;1;NA;1;0;1
"3391Q";0;0;0;0;0;0;1;NA;0;0;1;0;1;NA;0;1;0;NA;1;NA;0;NA;0;0
"3395Q";1;0;1;1;1;1;1;1;1;0;NA;0;1;1;1;1;1;0;1;1;1;1;1;1
"1092R";0;NA;NA;0;0;NA;0;NA;NA;NA;0;0;1;NA;NA;0;NA;NA;0;NA;NA;NA;0;0
"1096R";1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;NA;0;NA;1;0;1;1;1
"3390R";1;0;0;0;0;0;0;1;0;0;0;0;1;NA;0;0;0;0;1;0;0;1;0;0
"3656R";1;0;0;0;0;0;1;NA;0;0;0;0;0;1;0;0;NA;0;1;1;0;1;0;1
"1091S";1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;NA;0;1;0;0;1;1;1
"3389S";0;1;0;1;1;NA;NA;1;NA;1;1;0;0;1;NA;0;NA;NA;1;1;NA;1;NA;1
"3393S";0;0;0;1;0;0;0;NA;NA;1;1;0;0;0;NA;0;NA;NA;0;NA;0;NA;1;0
"1090T";1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;NA;1;1;1
"1094T";1;1;0;0;0;NA;0;1;1;1;0;0;1;1;0;1;NA;0;0;0;0;1;1;1
"3392T";0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0
"1097Q";0;NA;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;NA;1;NA;0;NA;1;1
"1101Q";1;NA;0;0;0;NA;0;NA;NA;0;NA;1;0;1;NA;0;NA;0;0;NA;NA;0;0;1
"3399Q";1;0;1;1;1;NA;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0
"1100R";1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;0
"3398R";1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1
"3402R";1;1;NA;0;1;0;0;NA;NA;0;0;0;0;1;NA;0;0;NA;0;1;0;1;1;0
"1099S";1;NA;1;1;0;NA;1;NA;0;1;NA;0;1;NA;NA;0;NA;NA;1;NA;NA;1;NA;0
"3397S";1;NA;1;0;1;0;1;NA;0;1;1;0;1;NA;0;0;NA;NA;0;NA;0;1;0;0
"3401S";1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1
"1098T";1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0
"1102T";0;NA;NA;0;NA;NA;1;0;0;NA;0;0;1;1;0;0;NA;NA;1;NA;NA;1;0;0
"3396T";0;0;0;1;0;0;1;NA;1;1;1;0;1;NA;0;1;0;0;0;NA;0;0;0;0
"3400T";1;NA;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;NA;0;NA;1;0
"1105Q";1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;1
"3403Q";0;1;0;1;0;0;1;1;NA;1;0;1;1;0;0;1;1;1;1;1;NA;1;0;1
"3407Q";1;NA;0;1;0;0;0;0;0;NA;0;0;1;1;1;1;1;1;1;1;0;1;1;1
"1104R";1;NA;1;0;NA;NA;0;NA;1;NA;0;0;1;NA;0;0;NA;NA;0;0;0;NA;0;1
"3406R";1;1;0;1;0;0;1;NA;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1
"1103S";1;0;1;1;1;NA;1;0;0;1;1;1;1;1;1;1;1;NA;1;NA;0;1;1;1
"1107S";1;0;0;0;NA;0;1;1;NA;1;1;0;1;1;0;0;NA;0;1;0;0;1;0;0
"3405S";1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1
"1106T";1;0;0;0;NA;NA;1;0;0;1;1;0;1;1;1;0;0;1;1;0;NA;1;0;0
"3404T";0;0;0;0;NA;NA;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1
"1109Q";1;0;0;0;0;0;1;0;NA;NA;NA;0;1;0;0;0;NA;NA;1;0;0;NA;NA;0
"1113Q";0;0;0;1;0;0;1;NA;0;1;NA;0;1;1;0;0;1;NA;1;NA;0;1;0;1
"3411Q";0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;NA;1;1;0;0;1;0;1
"1108R";1;0;1;1;1;0;0;NA;0;0;0;0;1;NA;0;1;NA;0;0;1;0;1;0;1
"1112R";1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1
"3410R";1;1;NA;1;0;0;0;NA;NA;0;NA;0;0;NA;NA;0;NA;NA;0;1;NA;1;NA;1
"1111S";1;0;NA;1;0;0;1;0;NA;1;1;0;1;1;1;1;NA;NA;1;0;0;1;0;1
"3409S";0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1
"3413S";1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1
"1110T";1;NA;0;0;0;0;0;1;0;1;1;0;1;1;0;1;NA;NA;0;0;0;1;0;1
"3408T";1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;0;1;1;0
"3412T";0;NA;0;0;0;NA;0;0;1;1;0;0;0;1;1;0;NA;NA;0;0;0;1;NA;0
"1117Q";1;0;1;1;1;NA;1;1;1;1;0;1;1;1;1;1;1;NA;1;0;1;1;1;1
"3415Q";0;NA;0;1;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
"1116R";1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;NA;1;0;1;1;1;1
"3414R";1;0;NA;0;1;0;0;0;NA;0;0;0;0;0;NA;0;1;NA;1;0;NA;1;1;0
"3418R";1;1;1;1;1;1;1;1;1;0;NA;0;1;NA;NA;0;NA;NA;1;1;1;1;1;1
"1115S";0;0;1;0;1;0;1;0;1;1;1;0;0;1;0;1;NA;0;0;NA;1;0;1;1
"1119S";1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1
"1114T";1;0;1;1;0;NA;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1
"1118T";1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;1;0;1;1;0
"3416T";0;NA;1;1;0;NA;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0
