"";"a1_1_1";"a1_2";"a1_3";"a1_4_1";"a1_5";"a1_6";"a2_1";"a2_2";"a2_3";"a2_4";"a2_5";"a2_6_1";"b1_1_1";"b1_2";"b1_3";"b1_4_1";"b1_5";"b1_6";"b2_1";"b2_2";"b2_3";"b2_4";"b2_5";"b2_6_1"
"2228Q";1;0;NA;0;0;NA;0;NA;0;NA;0;1;1;1;0;0;NA;0;0;0;0;1;0;0
"2232Q";0;NA;NA;0;0;NA;0;NA;0;NA;0;0;1;NA;NA;0;0;NA;0;0;0;0;1;0
"1080R";1;NA;NA;0;0;0;1;1;0;1;1;1;1;1;NA;0;0;0;1;1;NA;0;0;1
"2231R";1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;NA;1;1;1;1;1;0
"1079S";0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0
"2230S";0;0;0;0;1;NA;0;1;1;0;1;1;0;1;NA;0;NA;0;0;0;NA;1;0;0
"1078T";0;0;NA;0;0;NA;1;0;0;0;NA;0;0;1;NA;0;NA;NA;1;0;0;0;0;0
"1082T";1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;NA;0;1;1;0
"2229T";0;NA;NA;0;0;NA;0;NA;NA;NA;1;0;1;NA;NA;1;NA;NA;1;NA;NA;NA;0;1
"1073Q";1;0;0;1;0;NA;1;0;0;0;0;0;1;0;0;0;1;NA;1;NA;0;1;0;1
"1077Q";1;1;1;1;1;1;1;1;1;1;NA;0;1;1;1;1;1;0;1;1;1;1;0;1
"2224Q";0;0;0;1;0;NA;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0
"1072R";1;1;1;1;1;0;1;NA;1;NA;1;0;1;1;1;0;1;NA;1;1;1;1;0;1
"1076R";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;NA;NA;1;1;0;1;1;1
"2223R";0;0;1;0;1;0;0;0;0;0;NA;0;0;1;0;0;NA;NA;0;0;1;0;0;1
"2227R";1;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1
"1075S";1;0;0;1;0;0;0;NA;0;1;0;0;0;NA;0;0;NA;NA;0;NA;0;NA;0;0
"2222S";1;0;1;0;1;NA;1;NA;0;1;1;0;1;NA;NA;1;NA;NA;NA;NA;NA;1;NA;0
"2226S";0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;NA;1;1;0;1;1;0
"1074T";1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
"2225T";1;NA;0;1;0;0;1;1;0;1;1;0;1;1;0;1;NA;0;1;NA;0;1;NA;1
"1085Q";0;0;0;0;0;0;1;0;0;0;1;0;1;NA;1;1;0;NA;1;0;0;NA;NA;0
"1089Q";0;0;0;0;0;NA;NA;NA;1;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1
"2236Q";1;0;0;1;0;0;1;1;NA;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1
