1001Q;2;1;1;i;s;f;1;NA;NA;1;k;NA;ks;5;k;s;NA;k;k;5;2;2;1;2;1;2;1;2;k;k;n;1;2;1;2;k;k;2;k;1;n,ff;k;6;1;2;1;1;1
1005Q;2;2;1;sp;x;f;1;NA;NA;NA;f;35214;f;5;sp;k;fk;i;f;5;1;2;1;2;2;2;1;2;k;k;k;1;1;1;2;ks;f;2;k;k;n,fk;sp;5;2;2;2;1;1
2152Q;2;2;1;sp;s;f;1;2;2;1;f;15243;NA;5;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;2;1;1;k;s;n,ff;1;1;1;2;k;f;2;ab;s;n,ff;k;6;2;2;1;1;1
2156Q;2;0;2;sp;NA;NA;1;2;1;2;d;25143;NA;5;sp;NA;NA;k;k;6;2;1;1;1;2;2;1;2;k;kl,1;n,ff;1;1;2;1;k;kt;2;NA;kl,1;n,ff;k;9;2;2;1;1;1
3303Q;2;2;1;k;k;n;1;2;1;2;k;;f;5;k;p;k;k;k;5;2;2;2;1;2;2;1;2;k;k;n;1;1;2;2;k;f;2;k;k;k;k;7;1;2;1;1;2
3307Q;2;1;2;NA;s;f;2;2;1;1;f;25341;f;5;sp;s;f;k;k;3;1;1;2;2;1;1;2;2;k;s;f;1;1;2;2;k;NA;2;sp;s;f;fp;5;1;2;1;1;2
4454Q;2;2;1;sp;2;n,ff;1;1;2;2;k;;ku;5;ab;1;n,ff;k;k;5;2;2;1;1;1;2;2;1;k;k;n;1;2;1;2;k;k;2;k;ab;NA;fp;6;1;2;1;1;2
1004R;2;1;1;str;s;f;1;1;2;2;d;35241;f;5;sp;s;f;f;f;1;1;2;1;2;2;1;2;1;s;s;f;1;1;2;2;f;ab;2;sp;s;f;fp;6;2;1;2;1;2
2151R;1;1;2;sp;NA;NA;1;2;1;2;f;25134;NA;0;NA;ab;NA;k;p;6;2;2;2;1;1;1;2;2;k;ab;NA;1;2;1;1;ab;NA;0;NA;div,2;n,ub;fp;0;1;2;1;1;2
2155R;2;2;1;k;1;ff;1;2;1;2;k;NA;kr;5;str;ab;NA;k;k;9;2;2;1;1;2;2;1;2;ab;1;n,ff;1;2;2;2;k;NA;2;i;k;int;k;5;1;2;1;1;1
3302R;2;1;2;sp;2;ff;1;2;1;1;f;25341;ab;0;str;NA;NA;p;f;7;1;2;1;2;2;2;1;2;k;ab;NA;1;1;2;2;ab;f;2;sp;4;ff;fp;6;1;2;1;1;2
3306R;2;2;1;sp;k;n;1;2;1;2;f;25134;f;5;sp;k;k;i;f;6;2;2;1;2;1;2;1;2;k;ab;NA;1;1;2;2;f;f;2;sp;s;f;k;6;2;2;2;1;1
4453R;2;2;2;k;k;k;2;1;1;2;f;45123;kt;5;str;s;f;k;k;5;2;1;1;1;2;2;1;2;NA;k;n;1;1;2;2;k;NA;2;k;1;ff;k;5;1;2;1;1;2
1003S;2;2;1;k;k;k;1;NA;1;NA;k;NA;f;5;k;1;k;k;k;5;2;2;2;1;1;2;1;2;k;k;n;1;2;1;1;ks;f;2;sp;k;k;k;5;NA;NA;1;1;NA
1007S;2;1;2;sp;s;f;1;2;2;1;d;25143;f;0;NA;s;f;k;f;2;2;2;2;1;2;2;1;1;k;s;f;2;1;1;1;NA;f;0;sp;ab;NA;k;2;2;1;1;1;2
2154S;2;2;1;k;k;k;1;2;1;2;k;NA;k;5;k;k;k;k;k;5;2;2;1;1;1;2;1;2;k;k;n;1;1;2;2;k;k;2;k;k;n;k;5;2;2;1;1;2
3301S;2;2;1;NA;1;ff;1;2;1;2;d;25143;ku;5;k;1;ff;k;k;5;2;2;2;1;1;2;1;2;NA;k;n;1;2;1;2;k;ab;2;NA;ab;NA;k;NA;2;2;1;1;2
3305S;2;2;1;k;k;k;1;2;1;2;k;NA;ks;5;sp;k;k;k;k;5;2;2;1;1;1;2;1;2;i;k;n;1;1;2;2;k;NA;2;k;ab;NA;k;6;1;2;1;1;2
4452S;2;2;1;NA;ab;NA;1;2;1;2;d;25143;NA;5;k;k;k;NA;NA;5;2;2;1;1;2;2;1;2;NA;k;n;1;2;1;2;k;NA;2;NA;k;int;NA;6;2;1;1;1;2
4456S;2;2;1;sp;1;ff;1;2;2;2;k;NA;ku;5;k;k;int;k;k;5;2;2;2;1;2;2;1;2;k;kl;ff;1;2;1;2;k;k;2;k;k;int;k;5;2;2;1;1;1
1002T;2;2;1;i;k;n;1;2;1;2;k;NA;ks;5;k;p;k;k;k;5;2;2;1;1;1;2;1;2;k;k;n;1;2;1;2;k;f;2;i;k;int;k;5;2;2;1;1;1
1006T;2;1;2;k;NA;NA;1;1;2;2;f;15423;NA;5;p;NA;NA;k;k;5;2;2;1;1;1;1;2;1;k;NA;NA;2;1;1;2;k;f;0;sp;s;n,ff;fp;5;2;2;1;2;1
2153T;2;1;1;i;s;n;1;2;2;1;f;15423;NA;3;k;s;f;k;k;5;2;1;2;1;1;2;1;2;i;ab;NA;2;1;2;2;NA;NA;2;NA;ab;NA;NA;5;1;2;1;2;1
2157T;1;2;2;k;NA;NA;1;2;1;2;d;25143;ab;5;ab;s;f;k;k;5;2;2;2;1;1;2;2;1;k;ab;NA;1;1;2;2;k;f;2;NA;ab;NA;NA;5;1;2;1;1;2
3304T;2;1;1;sp;x;f;1;2;2;2;k;NA;f;5;ab;k;k;k;k;5;2;1;2;1;2;2;1;1;k;k;n;1;2;1;2;k;k;2;str;1;ff;k;6;1;2;1;1;2
4451T;1;2;2;k;ab;NA;1;2;1;2;k;NA;NA;5;s;k;int;k;k;5;2;2;1;1;1;2;2;1;k;k;n;1;1;2;2;k;NA;2;e;2;f;sp;0;2;2;1;1;2
4676T;2;2;NA;k;1;n,ff;1;2;1;2;k;NA;f;5;p;1;n,ff;k;k;5;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;kt;4;k;1;ff;k;4;2;2;1;1;2
1009Q;2;1;1;sp;ab;NA;1;2;1;2;d;45132;NA;5;sp;s;NA;k;f;5;1;2;1;2;2;2;1;1;k;k;k;1;2;2;2;f;f;2;sp;k;k;k;6;1;2;1;1;2
1013Q;2;1;1;sp;NA;NA;1;2;1;2;f;15423;NA;5;NA;ab;NA;k;f;10;1;2;2;1;2;2;1;1;NA;1;n,ff;1;1;2;2;k;f;2;NA;ab;f;NA;5;2;1;2;1;2
2160Q;2;2;2;NA;k;n;1;2;1;2;d;25143;NA;5;NA;ab;NA;NA;NA;5;NA;NA;NA;NA;NA;2;1;2;k;k;k;1;1;2;2;k;k;2;k;k;n;k;4;2;2;1;1;1
3311Q;2;2;2;NA;NA;NA;1;2;1;1;f;25134;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;2;2;NA;NA;NA;NA;NA;NA;2;1;2;1;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4458Q;1;1;1;k;ab;f;2;1;2;1;d;25143;f;5;ab;NA;f;k;NA;2;1;2;1;2;1;2;1;2;p;s;f;1;2;1;2;NA;f;2;NA;ab;f;sp;6;2;1;2;1;2
4462Q;2;1;1;sp;NA;NA;1;1;2;2;k;NA;NA;2;NA;ab;NA;NA;NA;6;1;2;1;2;2;2;2;1;k;s;f;1;1;1;2;NA;f;4;sp;NA;NA;k;0;1;2;1;1;2
1008R;2;2;1;sp;k;n;1;2;2;1;f;25134;f;5;g;ab;NA;i;f;7;1;2;2;2;2;2;1;2;NA;ab;NA;2;2;1;2;f;f;2;s;1;n;k;6;2;2;1;1;2
1012R;2;2;1;NA;2;n,d,ff;2;2;1;2;f;25431;f;6;NA;div;f;NA;NA;2;2;2;1;1;2;2;1;2;k;ab;NA;1;1;2;2;NA;NA;2;NA;2;d,ff;sp;8;2;2;1;1;1
2159R;2;1;2;k;k;n;1;2;1;2;k;NA;f;0;e;s;f;ab;NA;5;2;2;2;1;2;2;1;2;ab;ab;NA;1;2;2;2;k;kt;2;sp;div,3;n,ff;k;9;1;1;1;1;2
2626R;2;2;1;k;k;k;1;2;1;2;k;NA;ku;5;NA;k;k;k;NA;3;1;NA;NA;NA;NA;NA;1;NA;k;k;k;1;2;2;1;u;NA;2;k;k;int;k;5;1;2;1;1;2
3310R;2;2;1;k;1;n,ff;1;2;2;2;k;NA;kt;5;NA;ab;NA;NA;f;3;2;2;NA;1;NA;1;2;2;i;1;n,ff;1;2;1;2;k;NA;2;ab;k;int;k;5;ab;2;1;1;2
4457R;2;2;1;k;1;ff;1;NA;NA;NA;d;25143;ks;5;NA;1,x;f;NA;NA;NA;2;2;2;1;2;NA;NA;NA;NA;x;f;2;2;1;2;NA;NA;2;k;k;n;k;2;2;2;1;1;2
4461R;2;0;0;sp;k;k;1;2;2;2;d;25143;ku;2;NA;kl;ff;k;p;7;1;2;2;2;2;2;1;0;NA;k;k;1;2;1;1;NA;NA;4;sp;kl;ff;k;6;2;2;1;1;2
