"";"a1_1_1";"a1_2";"a1_3";"a1_4_1";"a1_5";"a1_6";"a2_1";"a2_2";"a2_3";"a2_4";"a2_5";"a2_6_1";"b1_1_1";"b1_2";"b1_3";"b1_4_1";"b1_5";"b1_6";"b2_1";"b2_2";"b2_3";"b2_4";"b2_5";"b2_6_1"
"1005Q";1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1
"2152Q";1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1
"2156Q";0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1
"3303Q";1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0
"3307Q";0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0
"4454Q";1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0
"1004R";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
"2151R";0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
"2155R";1;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1
"3302R";0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0
"3306R";1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1
"4453R";1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0
"1003S";1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0
"1007S";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
"2154S";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"3301S";1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;0;1
"3305S";1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0
"4452S";1;0;0;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0
"4456S";1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1
"1002T";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1
"1006T";0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1
"2153T";1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;1;0
"2157T";0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0
"3304T";1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;0;0
"4451T";0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1
"4676T";1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
"1009Q";1;0;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;0
"1013Q";1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0
