"";"a1_1_1";"a1_1_2";"a1_1_3";"a1_2";"a1_3";"a1_4_1";"a1_4_2";"a1_4_3";"a1_4_4";"a1_5";"a1_6";"a2_1";"a2_2";"a2_3";"a2_4";"a2_5";"a2_6_1";"a2_6_2";"a2_6_3";"a2_6_4";"a2_6_5";"b1_1_1";"b1_1_2";"b1_1_3";"b1_2";"b1_3";"b1_4_1";"b1_4_2";"b1_4_3";"b1_4_4";"b1_5";"b1_6";"b2_1";"b2_2";"b2_3";"b2_4";"b2_5";"b2_6_1";"b2_6_2";"b2_6_3";"b2_6_4";"b2_6_5"
"1001Q";1;0;1;0;0;1;NA;NA;0;2;1;1;1;0;2;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;2;2;1;1;1;1;0;0;1;1;1;1
"1005Q";1;1;1;0;0;1;NA;NA;NA;0;0;1;0;2;0;1;0;1;1;0;0;1;1;1;1;2;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1
"2152Q";1;1;1;0;0;1;1;0;0;0;NA;1;NA;NA;NA;0;NA;NA;NA;NA;NA;1;1;0;1;0;1;1;0;1;2;0;1;0;0;1;0;1;1;1;1;1
"2156Q";1;0;0;0;NA;1;1;1;1;1;NA;1;0;NA;2;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;2;1;1;NA;0;1;1;1;1;1;1;1
"3303Q";1;1;1;1;1;1;1;1;1;2;0;1;1;1;2;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;2;0;1;1;2;1;0;0;1;1;1;0
"3307Q";1;0;0;NA;0;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;2;NA;1;0;0;1;1;0;1;1;1;0
"4454Q";1;1;1;0;1;1;0;0;1;2;1;1;0;1;2;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;2;2;1;1;0;1;0;0;1;1;1;0
"1004R";1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0
"2151R";0;0;0;0;NA;1;1;1;1;0;NA;0;NA;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;NA;0;NA;0;1;0;0;1;1;1;0
"2155R";1;1;1;1;1;1;1;1;1;2;2;1;0;0;2;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;2;NA;1;0;1;1;1;0;1;1;1;1
"3302R";1;0;0;0;1;1;1;1;0;0;0;0;0;NA;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0
"3306R";1;1;1;0;1;1;1;1;1;0;0;1;0;2;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;1;1
"4453R";1;1;0;1;2;0;0;1;1;0;1;1;0;0;2;1;1;0;1;1;0;1;1;1;NA;1;1;1;1;1;2;NA;1;1;1;1;1;0;1;1;1;0
"1003S";1;1;1;1;2;1;NA;1;NA;2;0;1;1;1;2;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;2;1;1;NA;NA;1;1;NA
"1007S";1;0;0;0;0;1;1;0;0;1;0;0;NA;0;1;0;1;1;0;1;0;1;1;0;1;0;0;1;0;0;NA;0;0;0;0;1;0;1;0;1;1;0
"2154S";1;1;1;1;2;1;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;0
"3301S";1;1;1;NA;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0;1;1;1;1;1;NA;1;1;0;0;1;2;0;1;NA;0;1;NA;1;1;1;1;0
"3305S";1;1;1;1;2;1;1;1;1;2;1;1;0;2;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;2;NA;1;1;0;1;0;0;1;1;1;0
"4452S";1;1;1;NA;0;1;1;1;1;1;NA;1;1;2;NA;1;1;1;1;1;0;1;1;1;NA;1;1;0;0;1;2;NA;1;NA;1;NA;0;1;0;1;1;0
"4456S";1;1;1;0;1;1;1;0;1;2;1;1;1;1;2;1;1;1;0;1;0;1;1;1;1;0;1;0;0;1;2;2;1;1;1;1;1;1;1;1;1;1
"1002T";1;1;1;0;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;2;0;1;0;1;1;1;1;1;1;1;1
"1006T";1;0;0;1;NA;1;0;0;1;0;NA;1;0;NA;2;1;1;1;1;1;1;0;0;0;1;NA;0;1;0;1;2;0;0;0;0;1;1;1;1;1;0;1
"2153T";1;0;1;0;0;1;1;0;0;0;NA;0;1;0;2;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;NA;NA;1;NA;0;NA;1;0;1;1;0;1
"2157T";0;1;0;1;NA;1;1;1;1;1;0;1;0;0;2;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;2;0;1;NA;0;NA;1;0;1;1;1;0
"3304T";1;0;1;0;0;1;1;0;1;2;0;1;0;2;2;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;2;2;1;0;1;1;0;0;1;1;1;0
"4451T";0;1;0;1;0;1;1;1;1;2;NA;1;0;1;2;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;2;NA;1;0;0;0;0;1;1;1;1;0
"4676T";1;1;NA;1;1;1;1;1;1;2;0;1;0;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;0;1;1;1;0;1;1;1;1;0
"1009Q";1;0;1;0;0;1;1;1;1;1;NA;1;0;0;1;1;0;1;1;0;0;1;1;0;1;2;1;0;1;1;0;0;1;0;2;1;0;0;1;1;1;0
"1013Q";1;0;1;0;NA;1;1;1;1;0;NA;1;NA;0;1;0;0;1;0;1;0;1;1;0;NA;1;1;1;1;1;2;0;1;NA;0;NA;1;1;0;0;1;0
"2160Q";1;1;0;NA;1;1;1;1;1;1;NA;1;NA;0;NA;1;NA;NA;NA;NA;NA;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;0;1;1;1;1;1
"3311Q";1;1;0;NA;NA;1;1;1;0;0;NA;NA;NA;NA;NA;NA;0;1;1;0;0;NA;NA;NA;NA;NA;0;1;1;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4458Q";0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;NA;0;1;NA;0;0;0;1;0;0;1;0
"4462Q";1;0;1;0;NA;1;0;0;1;2;NA;0;NA;0;NA;0;0;1;1;0;0;1;0;0;1;0;1;1;0;1;NA;0;0;0;NA;1;0;0;1;1;1;0
"1008R";1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;NA;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0
"1012R";1;1;1;NA;1;0;1;1;1;0;0;0;NA;0;NA;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;NA;NA;1;NA;0;0;0;1;1;1;1;1
"2159R";1;0;0;1;1;1;1;1;1;2;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;2;1;1;0;0;1;1;0;0;1;1;0
"2626R";1;1;1;1;2;1;1;1;1;2;1;1;NA;2;1;0;0;NA;NA;NA;NA;NA;1;NA;1;2;1;0;1;0;0;NA;1;1;1;1;1;0;1;1;1;0
"3310R";1;1;1;1;1;1;1;0;1;2;1;1;NA;0;0;0;1;1;NA;1;NA;0;0;1;0;1;1;0;0;1;2;NA;1;0;1;1;1;0;1;1;1;0
"4457R";1;1;1;1;1;1;NA;NA;NA;1;1;1;NA;0;NA;NA;1;1;0;1;0;NA;NA;NA;NA;0;0;0;0;1;NA;NA;1;1;1;1;0;1;1;1;1;0
