;age;gender;mark;learning;q1_i1;q1_i2;q1_i3;q1_i4;q1_i5;q1_i6;q1_i7;q1_i8;q1_i9;q1_i10;q1_i11;q1_i12;q1_i13;q1_i14;q1_i15;q1_i16;q1_i17;q1_i18;q1_i19;q1_i20
1001Q;15;m;na;1;4;4;1;2,5;4;4;2;4;4;1;4;1;3;1;3;3;4;2;2;3
1005Q;15;w;na;2;4;3;2;2;4;3;2;3;3;2;3;1;3;2;3;2,5;3;4;2,5;3
2152Q;15;m;na;2;3;4;3;2;1;4;3;2;4;3;4;3;3;2;3;2;2;3;3;2
2156Q;13;w;na;2;4;2;3;2;4;2;3;2;3;3;4;1;3;1;2;2;2;1;2;4
3303Q;15;m;na;4;3;3;1;3;4;3;3;4;2;1;3;1;3;1;3;3;4;3;3;4
3307Q;16;m;na;4;4;4;2;3;3;3;3;3;4;2;4;2;4;2;2;2;3;3;2;3
4454Q;15;m;na;5;3;4;1;4;3;4;4;4;3;3;4;1;4;2;4;1;1;1;3;4
1004R;14;w;na;3;4;3;2;2;2,5;4;2,5;3;3;2;3;2,5;2;2,5;3;3;2,5;4;2,5;2
2151R;15;w;na;2;4;3;3;2;2,5;2;2;2;4;2,5;3;2;2;3;2;4;2,5;3;2;2
2155R;15;w;na;4;4;4;2;3;3;3,5;3,5;3;4;1;3;2;4;2;2,5;2,5;3;3;3;2,5
3302R;15;w;na;4;4;3;2;2;3;2;2;3;4;2;3;2;2;2;2;3;3;2;2;3
3306R;15;w;na;4;3;3;2;3;2;3;3;2;3;2;3;3;3;3;2;3;na;2;2;2
4453R;15;w;na;5;4;3;1;3;3;3;4;3;3;1;4;1;4;2;3;1;2;3;4;3
1003S;15;w;na;3;3;2,5;2;3;3;4;1,5;3;3;2;2,5;2;2;1;2;2;3;2;2;3
1007S;15;w;na;4;3;4;2,5;3;2;4;3;2;3;1,5;4;1,5;3;1;3;4;1,5;4;2,5;2
2154S;15;m;na;4;2;4;1;2;4;3;3;4;1;1;4;1;4;1;3;na;4;2;2;4
3301S;15;d;na;6;4;3;3;4;na;3;3;2;4;2;4;3;4;1;2;2;1;2;3;3
3305S;15;w;na;5;4;4;2;3;3;3;3;2,5;3;1;4;2;3;2;2,5;2;2,5;2;3;3
4452S;15;w;na;7;4;3;1;3;3;4;3;2,5;3;1;4;2;3;1,5;3;3;1;3;3;3
4456S;15;w;na;3;4;4;3;2;4;3;3;3;3;2;4;1;3;1;2;3;2;3;3;4
1002T;15;m;na;5;3;2;1;2;4;3;2;4;4;1;3;1;3;1;3;2;4;2;2;4
1006T;16;m;na;4;3;3;2,5;2;2;3;2,5;2;4;2;3;2,5;3;2;3;3;2;2,5;2;2,5
2153T;16;m;na;7;4;3;3;4;3;3;3;2;3;3;3;2;3;2;3;2;2;3;3;2
2157T;15;m;na;5;4;4;2;3;4;4;3;3;4;2;4;1;3;1;4;3;2,5;3;3;4
3304T;15;w;na;4;2,5;3;2;3;2,5;4;3;2,5;2;2;3;2;3;2;3;2;2,5;3;3;2,5
4451T;15;w;na;3;3;3;2,5;2,5;3;3;3;2;3;2;3;2;3;2;3;2;2;2;3;3
4676T;14;w;na;2;3;4;1,5;3;3,5;3;3;3,5;2,5;1;4;1,5;3;1;3;2;3,5;3;3;4
1009Q;16;w;2;5;3;4;2;3;3;4;3;3;2;2;3;2;3;na;4;2;3;4;3;3
1013Q;15;w;4;2;4;3;4;3;2;4;4;1;4;3;4;3;3;3;3;3;2;3;3;2
2160Q;14;m;3;1;3;4;2;3;2;4;4;2;4;1;4;2;4;3;4;3;3;3;3;2
3311Q;15;w;3,75;3;4;4;4;2;1;4;2;1;2;4;4;4;2;4;3;2;1;3;1;1
4458Q;15;w;3;7;4;3;2;4;3;4;4;3;4;3;4;2;4;3;4;4;3;1;4;2
4462Q;15;m;5;5;4;4;3;4;2;4;4;3;3;3;4;3;4;3;4;2;2;2;4;2
1008R;15;w;1;6;4;3;2;3;3;3;3;3;4;2;4;2;3;2;2;4;2;3;3;2
1012R;17;w;2;3;1;4;2;2;3;1;2,5;3;3;2;4;2;na;3;4;2;3;1;2;2
2159R;15;w;2;5;4;4;2;3;2;4;4;2;4;2,5;2;3;3;3;4;4;2;3;3;1
2626R;15;w;1,75;4;4;4;3;2;3;4;4;2;4;2;4;2;4;2;3;3;2;3;4;3
3310R;16;m;3;5;3;3;2;4;3;3;4;3;3;2;3;2;4;2;3;2;3;3;3;2
4457R;15;w;1;5;3;3;2;3;3;3;3;3;3;2;3;1;3;2;na;1;2;3;3;3
4461R;14;m;1;5;2;4;2;4;3;3;4;3;2;2;3;2;4;2;3;1;3;1;3;2
1011S;na;na;2;7;4;3;1;4;3;4;4;4;4;1;4;1;3;1;3;3;4;3;4;3
2158S;15;m;4;6;4;4;4;3;1;3;3;1;3;3;3;3;3;3;2;3;3;3;3;2
2162S;15;m;3;3;4;3;2;2;3;4;2;3;3;1;4;2;2;2;2;1;3;2;2;3
3309S;14;m;2,5;5;4;2;1;2;3;4;3;4;3;1;4;2;3;na;3;3;3;3;2;3
3313S;14;na;3;3;4;3;4;2;1;3;3;1;3;4;3;4;3;4;2;3;1;3;3;1
4460S;15;m;3,5;4;4;4;2;3;2;4;3;2;2;2;4;3;3;3;4;3;2;3;3;2
1010T;15;w;2;6;4;4;2;3;3;3,5;3;2,5;3;1;2;1;3;1,5;3;2,5;3;2,5;3,5;3
2161T;15;w;1;5;4;3;1;3;3;3;3;3;2;1;4;1;3;2;3;1;3;3;3;3
3308T;15;w;2;3;4;3;2;2;2;3;2;2;4;2;3;2;2;2;3;4;2;2;2;2
3312T;14;m;1;1;2,5;1;1;1;4;3;2;4;2;1;4;1;2;1;3;2;4;1;2;4
4459T;15;w;3;7;4;2;3;4;3;4;4;2;3;3;3;2;4;2;2;2;2;3;3;3
1017Q;15;d;5;7;3;4;4;4;1;4;4;1;3;4;4;3;4;3;3;3;1;3;3;3
1021Q;15;m;1,75;5;4;3;1;2;4;4;3;3;3;1,5;3;2;3;na;4;3;4;3;3;4
2164Q;15;m;4;2;3;4;3;2;3;3;2;2;3;2;4;2;3;2;4;2;2;2;2;2
2168Q;15;w;5;4;4;4;2;2;1;4;2;1;4;2;4;3;2;4;2;2;3;2;2;1
3315Q;15;m;2;4;2;1;2;3;4;4;3;3;4;2;4;1;3;2;3;2;3;2;3;3
3319Q;14;w;2;5;4;3;1;3;4;3;4;3;3;2;3;1;4;na;3;2;3;3;3;3
4466Q;15;w;1;2;2;4;1;4;3;3;3;3;3;1;4;2;3;1;3;2;3;1;3;3
4470Q;14;w;2;4;4;3;1;3;4;4;3;3;4;1;4;1;2;2;3;2;3;2;3;4
1016R;15;m;1;3;3;3;1;3;3;4;3;4;3;1;4;2;3;2;4;3;3;2;3;3
1020R;15;w;3;7;3;4;2;4;3;4;4;3;3;2;4;2;4;2;3;2;2;2;4;4
2167R;15;w;1,75;6;3;2;1;3;3;3;4;4;3;1;4;2;3;2;3;2;3;3;3;3
2171R;16;w;4;4;4;3;3;4;2;3;4;2;4;3;4;3;4;3;4;3;2;3;4;2
3314R;15;w;4;2;4;3;4;3;1;4;3;1;4;3;3;4;na;na;2;4;2;2;3;1
3318R;15;m;2,25;3;4;3;1;4;3;3;4;4;3;2;4;2;4;2;4;1;3;3;4;3
4465R;15;w;2;4;3;4;2,5;3;2,5;4;3;2;3;2;4;3;3;3;3;2;2;2,5;3;2,5
4678R;15;w;2;5;3;3;1;3;2;3;4;3;2,5;1;3;3;3;3;3;2;3;3;3;2,5
1015S;15;m;3;1;4;4;3;1;2;4;2;1;3;3;4;3;3;4;4;4;1;3;2;1
1019S;15;m;3;1;2;4;2;2;3;3;2,5;3;1;1;4;2;3;2;na;1;3;2;3;3
2170S;15;m;4;4;4;4;2;3;3;3;4;2,5;4;2;4;1;4;1;3;2;2;2;3;4
3317S;15;m;3;2;3;4;2;3;2;3;3;3;3;2;3;2;3;2;3;3;2;3;3;3
4468S;15;m;3,25;6;4;3;3;3;1;4;4;2;3;4;4;4;4;3;4;2;2;3;4;1
1014T;15;m;1;5;3;2;2;4;4;4;4;3;2;2;4;1;4;1;3;1;3;3;4;4
1018T;15;m;3;5;2;2;3;2;3;3;2;2;3;3;3;2;3;2;3;2;2;3;3;2,5
2165T;15;w;2,75;5;3;4;3;3;3;3;3;2;2;2;4;2;3;2;3;1;2;3;3;2
2169T;15;m;3;5;3;3;1;3;3;2;3;3;3;1;3;1;3;1;2;2;3;2;3;3
3320T;15;w;3;5;3;4;2;3;2,5;4;4;2;2;2;4;2;4;3;4;2;2;2;3;3
3366T;15;w;4;5;4;2;4;3;3;3;3;2;3;3;4;3;3;2;3;2;3;2;3;3
4463T;15;m;3,25;4;3;na;1;3;3;3;2,5;3;3;1;3;2;3;2;2,5;1;3;3;3;3
4471T;15;w;2;4;4;4;2;3,5;3;0;3;3;2,5;2;3;2;4;1;3;2;3;3;3;4
1605Q;15;m;na;0;2;4;4;4;1;4;3;1;2;4;4;4;3;4;4;1;1;2;4;2
2172Q;15;d;na;5,5;4;3;2;3;3;3;3;3;4;2;4;2;3;3;3;2;2,5;3;3;2
3323Q;15;w;1,5;6;4;3;4;3;2;3;3;3;4;3;4;2;2;1;1;3;2;4;3;4
4679Q;15;d;3,75;7;3;3;3;3;1;4;3;2;3;3;3;3;3;na;4;2;2;2;3;2
1024R;15;m;2;3;4;3;2;3;4;3;3;4;4;1;2;1;3;1;3;3;4;3;3;3
2175R;15;m;2,5;5,5;3;3;2;2;2;4;2;2,5;3;2;4;3;2;3;2,5;3;2,5;3;2;2
3322R;15;m;1;1;3;4;1;1;4;4;2;4;3;1;3;1;3;1;3;2;4;3;1;4
4473R;15;m;2;7;4;4;2;4;4;4;4;4;3;1;4;1;4;1;3;2;4;2;4;4
2166S;14;m;1,75;7;3;4;4;3;3;4;3;2;2;3;4;3;3;2;4;2;2;3;3;1
2174S;15;m;2;4;4;3;2;3;2;3;3;3;4;2;3;2;3;1;2;2;2;3;3;2
3321S;15;m;2;4;4;1;2;1;3;1;1;3;3;2;1;2;1;2;1;1;3;2;1;3
3325S;14;m;na;6;4;3;1;4;3;3;4;3;2,5;1;3;1;4;2;3;2;3;2;3;3
4464S;15;m;na;5,5;3;4;1;4;4;4;3;3;2;1;4;1;3;1;4;2;3;1,5;4;4
4472S;15;m;1;2;4;3;2;1;4;4;3;3;3;1;4;1;3;1;3;3;3;3;2;4
1022T;15;na;na;4;3;3;1;3;3;3;3;4;3;1;4;2;3;3;2;2;3;3;3;2
2173T;na;na;na;na;na;na;2,5;3;2;3;2;2;4;3;na;4;2,5;3;na;3;2;3;2;2
3324T;15;m;1;6;4;3;1;4;4;3;4;4;3;1;3;1;4;1;3;2;4;2;4;4
4475T;15;d;na;3;4;2;2;3;3;4;3;3;4;2;3;2;2;2,5;4;4;2;4;3;2,5
4467T;14;d;na;5;4;3;3;3;2;4;3;2;4;3;4;2;4;2;3;3;2;2;3;2
